HSC,CMP,GMP,B,Mono,MEP,EryA,NK,CD8,CD4,Gran
1810011O10Rik,0,3,0,0,0,0,0,0,0,0,6
1810012K16Rik,0,0,0,0,0,1,0,0,0,1,1
1810013A23Rik,0,0,0,0,0,0,0,0,0,0,0
1810013L24Rik,35,172,127,44,86,200,69,46,89,95,639
1810014B01Rik,39,109,114,14,7,159,6,2,24,20,61
1810018F18Rik,0,0,0,0,0,0,0,0,0,0,0
1810019D21Rik,6,0,0,1,0,0,0,0,0,0,0
1810020O05Rik,4,0,4,0,0,0,1,0,1,0,26
1810021B22Rik,23,7,8,0,4,4,0,1,0,3,87
1810022K09Rik,58,193,197,53,32,288,13,22,63,56,28
1810024B03Rik,3,12,10,2,0,15,1,0,3,0,8
1810026B05Rik,232,385,376,247,274,452,239,124,450,484,1406
1810026J23Rik,141,304,364,34,98,432,76,30,81,53,211
1810030O07Rik,129,285,295,50,112,306,35,28,128,81,390
1810032O08Rik,172,212,209,49,38,332,26,16,104,62,151
1810034E14Rik,23,12,15,4,18,34,0,6,51,24,59
1810037I17Rik,299,586,626,99,260,650,465,120,241,142,1764
1810041H14Rik,0,1,5,0,0,2,3,1,14,12,16
1810041L15Rik,6,2,0,0,1,3,4,0,0,0,10
1810043G02Rik,86,101,114,5,52,78,5,2,27,19,355
1810043H04Rik,378,501,570,109,173,575,99,67,225,158,770
1810044D09Rik,6,35,35,8,6,47,7,1,6,6,71
1810046K07Rik,0,6,0,36,0,0,1,0,0,1,18
1810053B23Rik,0,0,0,0,0,0,42,0,0,0,0
1810055G02Rik,32,32,32,2,11,131,15,0,9,4,314
1810058I24Rik,256,513,550,149,271,326,750,108,323,199,1607
1810062G17Rik,2,1,1,2,1,2,0,0,0,2,7
1810062O18Rik,3,7,6,5,0,2,3,0,6,14,12
1810063I02Rik,0,0,0,0,0,0,0,0,0,0,0
1810064F22Rik,0,2,1,1,0,0,2,0,1,0,1
1810065E05Rik,0,0,0,0,0,0,0,0,0,0,1
2010001A14Rik,9,12,10,4,3,10,3,0,8,4,28
2010003K11Rik,0,0,0,0,0,0,0,0,0,0,0
2010005H15Rik,0,0,0,0,0,0,0,0,1,1,6
2010009K17Rik,0,0,0,0,0,0,0,0,0,0,0
2010010A06Rik,0,0,0,0,0,0,0,0,1,0,2
2010016I18Rik,93,40,23,28,17,13,3,46,283,213,317
2010106C02Rik,0,0,0,0,0,0,0,0,0,0,0
2010106E10Rik,0,0,0,0,0,0,0,0,0,0,0
2010107E04Rik,133,419,490,83,155,484,59,50,131,113,218
2010107G12Rik,9,13,4,1,0,17,0,1,2,4,25
2010107G23Rik,15,0,1,5,0,14,0,1,0,5,4
2010109A12Rik,0,2,0,0,0,0,1,0,3,2,5
2010109I03Rik,7,0,0,4,4,0,0,4,3,2,21
2010111I01Rik,79,523,384,36,39,281,49,20,221,171,248
2010204K13Rik,31,33,16,7,0,142,1,0,8,3,20
2010300C02Rik,2,2,0,2,0,1,0,1,18,10,30
2010308F09Rik,0,1,0,1,3,14,0,0,0,0,1
2010310C07Rik,0,0,0,0,0,0,0,0,0,0,4
2010315B03Rik,24,68,40,28,20,65,7,15,20,38,142
2010320M18Rik,28,79,77,12,62,165,29,5,16,19,112
2200002D01Rik,66,30,11,2,2,22,4,6,11,6,140
2200002J24Rik,0,4,0,0,0,0,0,0,0,0,2
2210010C04Rik,0,4,4,0,0,0,0,0,0,0,0
2210011C24Rik,0,0,0,0,0,0,0,0,0,3,16
2210013O21Rik,153,227,213,4,63,176,16,14,77,34,245
2210016F16Rik,145,208,285,50,212,635,60,58,171,83,507
2210016L21Rik,344,355,362,93,103,546,63,53,234,85,562
2210019I11Rik,0,0,0,0,0,0,0,0,0,0,0
2210039B01Rik,0,0,0,0,0,0,0,0,0,0,0
2210404E10Rik,0,0,0,0,0,0,0,0,0,0,0
2210404O09Rik,0,26,44,10,18,8,2,3,23,8,44
2210406O10Rik,0,1,4,1,1,8,1,0,0,0,2
2210407C18Rik,0,0,0,0,0,0,0,0,0,0,0
2210408F21Rik,21,4,0,2,6,3,0,1,2,1,64
2210408I21Rik,0,15,22,2,0,19,5,0,1,1,1
2210409D07Rik,0,0,0,0,0,0,0,0,0,0,0
2210409E12Rik,0,0,0,0,0,0,0,0,0,0,2
2210414B05Rik,0,0,0,7,0,0,0,0,0,0,0
2210416O15Rik,2,1,2,1,0,0,0,1,1,0,3
2210417A02Rik,0,0,0,1,1,2,0,0,0,7,5
2210418O10Rik,0,0,0,0,0,0,0,0,0,0,0
2210420H20Rik,1,2,0,0,0,0,0,1,1,0,0
2300002M23Rik,0,0,0,0,0,0,0,0,0,0,0
2300003K06Rik,0,0,0,0,0,0,0,0,0,0,0
2300009A05Rik,117,242,240,40,82,293,31,51,157,124,269
2310001H17Rik,44,42,27,20,32,49,2,12,20,50,388
2310001K24Rik,0,0,0,0,0,4,0,0,0,0,0
2310002D06Rik,0,0,0,0,0,0,0,0,0,0,0
2310002F09Rik,0,0,0,0,0,0,0,0,5,1,0
2310002L09Rik,0,0,0,0,0,0,0,0,0,0,0
2310003N18Rik,0,0,0,0,0,0,0,0,0,0,0
2310005A03Rik,0,0,1,0,0,2,1,0,0,0,0
2310005E17Rik,0,0,0,0,0,0,0,0,0,0,0
2310007B03Rik,0,0,0,0,0,0,0,0,0,0,0
2310008N11Rik,0,0,0,0,0,0,0,0,0,0,2
2310009A05Rik,124,139,185,27,67,196,48,14,62,33,536
2310009B15Rik,82,255,340,21,135,366,52,25,100,53,287
2310010J17Rik,48,69,47,27,28,65,102,15,34,41,532
2310011J03Rik,370,427,434,99,226,615,179,95,180,102,1136
2310015A10Rik,75,42,39,84,24,107,52,15,33,61,474
2310015D24Rik,2,0,0,0,0,0,0,0,0,0,0
2310016D03Rik,0,0,0,0,0,0,0,0,0,0,0
2310020H05Rik,0,0,0,0,0,0,0,0,0,0,0
2310022A10Rik,231,295,261,40,174,451,120,56,77,35,256
2310022B05Rik,119,165,142,24,72,449,510,13,35,53,224
2310030A07Rik,0,0,0,0,0,0,0,0,0,0,0
2310030G06Rik,0,0,0,0,2,3,0,0,0,0,2
2310033P09Rik,536,591,550,195,151,919,429,130,266,251,942
2310034C09Rik,0,0,0,0,0,0,0,0,0,0,0
2310034G01Rik,8,29,9,0,4,8,0,0,0,0,21
2310034O05Rik,0,0,0,0,0,0,0,0,0,0,6
2310035C23Rik,27,111,142,53,70,130,43,25,44,98,276
2310036O22Rik,374,643,634,207,412,804,541,169,428,332,1477
2310039H08Rik,242,386,380,38,43,467,33,27,103,58,315
2310039L15Rik,0,0,0,1,0,0,0,0,0,0,1
2310040G24Rik,8,84,75,3,43,36,2,2,5,1,107
2310043L19Rik,0,0,0,0,0,0,0,0,0,0,0
2310043O21Rik,0,0,0,0,0,0,0,0,0,1,13
2310045n01rik-mef2b,0,0,0,0,0,0,0,0,0,0,0
2310050C09Rik,0,0,0,0,0,0,0,0,0,0,0
2310057J18Rik,0,0,0,0,0,0,0,0,0,0,0
2310057M21Rik,23,73,72,13,14,92,30,9,32,16,73
2310057N15Rik,0,0,0,0,0,0,0,0,0,0,0
2310061I04Rik,204,294,303,68,84,430,62,35,148,100,410
2310061N02Rik,0,0,0,0,0,0,0,0,0,0,0
2310065F04Rik,0,0,0,0,0,0,1,0,0,0,0
2310068J16Rik,38,19,47,1,0,32,1,0,4,0,20
2310069B03Rik,0,0,0,0,0,0,0,0,0,0,0
2310069G16Rik,0,0,0,0,0,0,0,0,0,0,0
2310075C17Rik,0,2,3,0,0,0,0,0,0,0,0
2310079G19Rik,0,0,0,0,0,0,0,0,0,0,0
2310081J21Rik,0,0,0,0,0,0,0,0,0,0,0
2400006E01Rik,0,0,0,0,0,0,0,0,0,0,0
2410002F23Rik,367,418,409,185,51,429,39,34,223,217,309
2410003L11Rik,0,0,5,0,0,1,0,0,0,0,4
2410004B18Rik,65,159,178,58,82,215,79,32,62,63,444
2410004I01Rik,0,0,0,0,0,0,0,0,0,0,0
2410004P03Rik,3,11,8,0,6,1,0,2,0,1,2
2410006H16Rik,672,832,749,285,484,976,161,89,516,322,927
2410012E07Rik,0,0,0,0,0,0,0,0,0,0,0
2410015M20Rik,512,757,789,173,266,946,346,130,516,270,909
2410016O06Rik,119,268,265,19,86,351,7,18,86,44,895
2410017I17Rik,6,0,0,0,0,0,0,0,0,0,0
2410018L13Rik,2,7,8,1,1,1,0,1,7,1,7
2410021H03Rik,0,0,0,0,0,0,0,0,0,0,1
2410089E03Rik,19,60,59,32,44,19,11,20,84,66,208
2410124H12Rik,0,0,0,0,0,0,0,0,0,0,0
2410131K14Rik,11,49,30,16,24,29,2,8,37,18,235
2410137M14Rik,0,0,0,0,0,0,0,0,0,0,1
2410141K09Rik,0,1,0,0,0,0,0,0,0,0,0
2500002B13Rik,2,15,26,0,12,20,62,2,2,1,30
2500004C02Rik,34,59,53,10,19,55,17,9,19,10,40
2510002D24Rik,381,338,287,142,33,625,82,70,306,208,557
2510003B16Rik,1,5,2,0,0,4,2,0,0,0,2
2510009E07Rik,1,12,2,0,8,18,0,0,11,12,109
2510039O18Rik,149,363,371,105,207,413,128,104,216,135,1120
2610001J05Rik,122,331,380,45,138,331,31,76,70,42,541
2610002M06Rik,98,176,189,27,67,401,91,32,74,58,157
2610005L07Rik,81,120,103,46,33,130,22,12,64,52,191
2610008E11Rik,27,49,58,25,25,42,9,15,33,52,90
2610016A17Rik,0,0,0,0,0,0,0,0,0,0,0
2610020C07Rik,1,21,9,6,3,21,35,1,3,0,22
2610020H08Rik,76,68,69,9,8,109,35,19,62,44,96
2610027K06Rik,0,0,0,0,0,0,36,0,0,0,0
2610028E06Rik,0,1,0,0,0,0,0,0,0,0,0
2610028H24Rik,4,0,0,0,0,0,0,0,0,0,0
2610035D17Rik,227,84,47,46,27,50,15,22,74,79,154
2610035F20Rik,0,0,0,0,0,0,0,0,0,0,0
2610037D02Rik,0,0,0,0,0,0,0,0,4,1,82
2610042L04Rik,6,1,1,0,0,0,0,0,0,2,2
2610044O15Rik8,30,100,56,25,17,95,6,14,39,36,82
2610100L16Rik,0,0,0,0,0,0,0,0,0,0,0
2610203C22Rik,0,1,1,0,0,0,0,0,0,1,1
2610206C17Rik,1,2,2,1,2,3,6,0,0,0,4
2610301B20Rik,75,97,146,5,20,185,28,10,36,4,95
2610305D13Rik,13,19,17,0,3,3,2,0,1,0,2
2610306M01Rik,4,22,13,4,2,29,2,0,8,4,42
2610307P16Rik,12,76,36,0,1,9,2,2,12,3,36
2610316D01Rik,0,0,0,0,0,0,0,0,0,0,0
2610318N02Rik,113,240,280,17,0,246,17,4,20,11,101
2610507B11Rik,534,946,902,259,379,1123,339,159,442,348,1066
2610507I01Rik,75,204,278,37,54,259,73,7,66,36,1453
2610524H06Rik,36,120,103,10,15,168,14,6,31,21,48
2610528A11Rik,1,6,10,0,4,4,2,2,0,0,147
2610528J11Rik,3,2,1,0,0,0,0,0,0,0,0
2700029M09Rik,202,492,410,53,122,565,335,15,131,89,456
2700038G22Rik,58,144,143,32,8,276,5,11,56,18,75
2700046A07Rik,0,0,0,0,0,0,0,0,0,0,0
2700046G09Rik,35,24,32,1,6,9,0,0,0,3,30
2700049A03Rik,101,254,281,37,48,276,56,27,80,53,205
2700054A10Rik,4,0,0,1,0,2,5,0,0,0,2
2700060E02Rik,185,562,574,85,224,684,114,45,224,164,644
2700062C07Rik,81,118,141,45,36,226,38,20,100,86,262
2700069I18Rik,0,4,2,1,0,2,0,1,2,3,6
2700070H01Rik,7,1,5,3,1,8,12,0,4,2,12
2700081O15Rik,140,88,50,21,4,129,0,2,24,7,96
2700089I24Rik,0,1,0,0,0,0,0,0,0,0,0
2700094K13Rik,352,918,966,121,167,921,148,99,246,147,530
2700097O09Rik,36,120,120,15,8,243,34,4,31,21,39
2700099C18Rik,31,115,90,21,6,114,45,7,16,10,50
2810001G20Rik,22,65,70,12,11,149,19,25,112,91,201
2810002D19Rik,8,35,40,26,20,45,10,14,15,16,198
2810004N23Rik,268,523,485,57,66,922,45,20,125,86,398
2810006K23Rik,97,175,172,26,37,205,61,30,53,30,160
2810013P06Rik,77,93,55,40,33,105,100,17,65,40,472
2810021J22Rik,29,24,27,35,12,93,32,12,35,42,139
2810025M15Rik,193,319,274,12,39,228,7,5,3,5,281
2810029C07Rik,12,3,1,1,1,13,3,0,3,1,13
2810032G03Rik,0,0,0,0,0,0,0,0,0,0,0
2810047C21Rik1,0,1,2,0,0,1,0,0,0,2,10
2810049E08Rik,0,0,0,0,0,0,0,0,0,0,0
2810403A07Rik,141,270,259,98,153,345,95,61,163,160,685
2810403D21Rik,0,5,2,3,0,9,2,0,0,1,1
2810404M03Rik,0,0,0,0,0,0,0,0,0,0,0
2810405F15Rik,0,0,0,0,0,0,0,0,0,0,0
2810408A11Rik,22,43,27,5,1,39,6,1,6,11,75
2810408I11Rik,38,115,188,0,16,268,76,2,10,0,65
2810410L24Rik,3,6,2,0,0,2,0,1,0,0,0
2810417H13Rik,282,1250,1066,45,108,970,671,7,72,22,674
2810428I15Rik,459,390,469,143,127,550,218,45,174,168,637
2810429I04Rik,1,2,1,2,0,0,0,0,1,0,13
2810433D01Rik,0,0,0,2,0,0,0,0,0,0,1
2810442N19Rik,0,0,0,1,0,0,0,0,0,0,6
2810454H06Rik,1,19,13,2,4,17,30,10,16,10,110
2810459M11Rik,0,0,0,0,0,0,0,0,0,0,1
2810468N07Rik,9,0,0,6,3,0,1,3,4,2,17
2810471M01Rik,1,0,0,0,0,0,0,0,0,0,0
2810474O19Rik,232,431,318,216,402,574,360,147,482,492,1853
2900005J15Rik,35,36,13,3,17,59,0,4,29,26,76
2900009J06Rik,0,0,0,0,0,7,8,0,0,0,0
2900011O08Rik,0,0,0,0,0,0,0,0,0,0,0
2900026A02Rik,201,137,55,2,1,167,0,23,19,7,215
2900041M22Rik,0,5,0,2,0,0,0,2,5,3,5
2900052N01Rik,0,0,0,0,0,0,1,0,0,1,209
2900055J20Rik,1,0,0,0,0,0,0,0,0,0,0
2900057B20Rik,0,0,0,0,0,0,0,0,0,0,0
2900060B14Rik,10,4,1,4,1,7,0,1,0,12,6
2900076A07Rik,22,49,29,17,22,64,24,9,51,43,73
2900079G21Rik,0,6,0,0,0,0,0,1,0,0,0
2900092C05Rik,0,0,0,0,0,0,0,0,0,0,0
2900092D14Rik,8,5,4,0,2,5,3,0,3,2,8
2900097C17Rik,506,862,852,136,352,950,110,97,247,184,1081
3000002C10Rik,24,40,56,6,1,77,3,2,17,3,46
3010001F23Rik,0,0,0,0,0,0,0,0,0,0,0
3010026O09Rik,90,142,151,9,4,129,40,3,12,8,104
3100003L05Rik,0,0,0,0,0,0,0,0,0,0,0
3110001I22Rik,2,18,32,5,11,9,0,0,10,8,33
3110002H16Rik,30,48,37,13,21,104,99,8,55,29,299
3110009E18Rik,9,30,22,7,17,68,0,12,16,14,27
3110009F21Rik,0,0,0,0,0,0,0,0,0,0,0
3110015C05Rik,0,0,0,0,0,0,0,0,0,1,0
3110021A11Rik,7,0,8,1,0,11,10,0,0,4,12
3110021N24Rik,6,0,0,0,14,0,0,2,0,0,17
3110035E14Rik,0,2,1,0,1,0,0,0,0,0,1
3110039I08Rik,0,0,0,0,0,0,0,0,0,0,0
3110039M20Rik,0,0,0,0,0,0,0,0,0,0,0
3110040N11Rik,30,84,104,21,37,156,14,12,48,31,140
3110043O21Rik,21,20,16,15,56,55,2,2,8,22,161
3110045C21Rik,0,3,0,0,0,6,0,0,0,0,3
3110052M02Rik,8,32,38,19,15,26,4,12,28,21,90
3110056K07Rik,7,24,29,23,24,43,14,14,41,22,94
3110062M04Rik,73,117,60,39,22,174,65,11,36,23,499
3110070M22Rik,1,3,4,3,2,33,2,3,3,0,2
3110079O15Rik,0,0,0,0,0,0,0,0,0,0,0
3110082I17Rik,129,386,375,18,188,410,8,18,32,7,205
3110082J24Rik,0,0,0,0,0,0,0,0,0,0,0
3110099E03Rik,0,0,0,0,0,0,0,0,0,0,0
3200001D21Rik,0,0,0,0,0,0,0,0,0,0,13
3300002I08Rik,0,5,2,0,0,1,0,1,0,1,4
3300002P13Rik,0,0,1,0,0,0,0,0,0,0,5
3300005D01Rik,11,6,10,27,8,57,4,0,1,3,66
3425401B19Rik,0,0,0,0,0,0,0,0,1,0,2
3632451O06Rik,0,0,0,0,0,0,0,0,0,0,0
3632454L22Rik,0,0,0,0,0,2,1,0,0,0,1
3830403N18Rik,3,9,8,2,3,7,0,0,4,3,2
3830406C13Rik,92,151,143,36,81,218,14,21,53,59,178
3830408C21Rik,16,5,5,1,1,7,7,0,3,5,13
3830417A13Rik,0,0,0,0,0,0,0,0,0,0,0
3830432H09Rik,10,0,1,0,0,0,0,0,0,0,1
3930402G23Rik,2,0,2,1,0,0,1,0,0,0,12
4430402I18Rik,1,2,1,0,4,0,0,1,0,0,12
4631405J19Rik,3,0,0,0,0,1,0,0,0,0,0
4632404H12Rik,29,50,46,16,7,35,2,6,28,37,45
4632415L05Rik,81,136,119,13,46,114,7,20,51,48,147
4632427E13Rik,0,3,1,0,0,2,0,0,2,3,4
4632428C04Rik,2,1,3,16,1,0,0,2,0,0,11
4732416N19Rik,0,0,0,0,0,0,0,0,0,0,0
4732471J01Rik,2,9,10,4,2,7,0,0,0,0,26
4732490B19Rik,3,0,1,1,0,1,0,0,3,0,2
4732491K20Rik,6,2,6,0,1,2,0,1,1,1,4
4831407H17Rik,2,2,0,0,0,0,0,0,0,0,2
4831440E17Rik,6,14,17,15,15,39,9,20,29,42,133
4833411C07Rik,0,2,0,0,1,0,0,0,0,0,44
4833412C05Rik,0,1,0,0,0,1,0,0,0,0,2
4833415N18Rik,0,0,0,0,0,0,0,0,0,0,0
4833417C18Rik,3,17,5,4,5,44,9,0,3,1,12
4833418N02Rik,28,16,23,8,4,4,4,2,4,4,47
4833419F23Rik,0,5,1,9,5,0,2,1,0,1,70
4833420G17Rik,195,265,283,133,164,309,81,91,268,195,620
4833422C13Rik,0,4,0,0,0,0,0,0,0,0,2
4833422M21Rik,0,0,0,0,0,0,0,0,0,0,0
4833423E24Rik,0,0,0,0,0,0,0,0,0,0,0
4833427F10Rik,6,0,0,0,0,0,0,0,1,0,0
4833427G06Rik,0,0,0,0,0,0,0,0,0,0,0
4833428L15Rik,0,0,0,0,0,0,0,0,0,0,2
4833439L19Rik,48,165,168,57,91,203,76,36,60,64,421
4921501E09Rik,0,0,0,0,0,0,0,0,0,0,0
4921504A21Rik,3,1,1,0,0,0,2,0,0,0,0
4921504E06Rik,0,0,1,0,0,0,0,0,0,0,2
4921507P07Rik,0,2,12,0,2,8,2,0,0,3,14
4921508D12Rik,0,0,0,0,0,0,0,0,0,0,0
4921509C19Rik,0,0,0,0,0,0,0,0,0,0,0
4921509O07Rik,0,0,0,0,0,0,0,0,0,0,1
4921511C10Rik,0,0,3,2,0,0,0,0,0,0,14
4921511C20Rik,0,0,0,0,0,0,0,0,0,0,0
4921511H03Rik,0,2,0,0,0,0,0,0,0,0,0
4921511I17Rik,0,0,0,0,0,0,0,0,0,0,2
4921511M17Rik,0,0,0,0,0,0,0,0,0,0,0
4921513I03Rik,0,0,0,0,0,0,0,0,0,0,0
4921515E04Rik,3,1,2,1,0,1,0,0,2,0,1
4921517D22Rik,3,12,16,3,11,13,16,1,4,4,33
4921518K17Rik,0,1,4,0,0,0,0,0,0,0,2
4921524J17Rik,63,183,218,33,51,240,60,37,90,45,311
4921524L21Rik,0,0,0,0,0,0,0,0,0,0,0
4921525O09Rik,0,0,0,11,0,0,0,0,24,1,1
4921529L05Rik,0,0,1,0,0,0,0,0,0,0,0
4921530L21Rik,0,0,0,0,0,0,0,0,0,0,0
4921531C22Rik,25,26,17,7,13,51,16,6,16,4,168
4921531P14Rik,0,0,0,0,0,0,0,0,0,0,0
4921533I20Rik,0,0,0,0,0,0,0,0,0,0,0
4921534H16Rik,0,0,0,0,0,0,0,0,0,0,0
4921536K21Rik,12,3,5,0,3,9,4,0,0,0,17
4921539E11Rik,0,0,0,0,0,0,0,0,0,0,0
4922502D21Rik,0,4,0,0,0,0,0,0,0,1,2
4922502H24Rik,0,0,0,0,0,0,0,0,0,0,0
4922502N22Rik,2,0,0,0,0,0,0,0,0,0,0
4930401C15Rik,0,0,0,0,0,0,0,0,0,0,0
4930401O10Rik,0,0,0,0,0,0,0,0,0,0,0
4930401O12Rik,0,0,0,0,0,0,0,0,0,0,0
4930402F06Rik,0,0,0,0,0,0,0,0,0,0,0
4930402F11Rik,0,0,0,0,0,0,0,0,0,0,0
4930402H24Rik,83,104,135,32,52,223,62,24,56,79,491
4930402K13Rik,0,0,0,0,0,0,0,0,0,0,0
4930404A05Rik,0,0,0,0,0,0,0,0,0,0,0
4930404H11Rik,0,0,0,0,0,0,0,0,0,0,0
4930404I05Rik,0,2,1,1,2,1,2,0,0,0,8
4930404N11Rik,26,18,12,10,7,35,27,1,5,15,39
4930405A10Rik,0,0,0,0,0,0,0,0,0,0,0
4930405A21Rik,7,0,1,0,0,6,1,0,3,3,6
4930405D11Rik,0,0,0,0,0,0,0,0,0,0,0
4930405J17Rik,0,0,2,0,0,0,0,0,0,0,0
4930405L22Rik,0,0,0,0,0,0,0,0,0,0,0
4930405O22Rik,0,0,0,0,0,0,0,0,0,1,0
4930406D18Rik,0,0,0,0,0,0,0,0,0,0,0
4930407G08Rik,0,0,0,0,0,0,0,0,0,0,0
4930407I10Rik,0,0,0,0,0,0,0,0,0,0,0
4930407I19Rik,0,0,0,0,0,0,0,0,0,0,0
4930412B13Rik,0,1,0,0,0,0,0,0,0,0,0
4930412C18Rik,0,0,4,0,2,1,0,0,0,0,5
4930412O13Rik,0,0,0,0,0,0,0,0,1,0,0
4930413E15Rik,0,0,0,0,0,0,0,0,1,0,0
4930413F20Rik,0,0,0,0,0,0,0,0,0,0,0
4930413G21Rik,48,26,22,14,11,32,24,5,20,10,83
4930413M19Rik,0,0,0,0,0,0,0,0,0,0,0
4930414N06Rik,0,1,0,0,0,0,1,1,0,0,0
4930415F15Rik,0,8,7,1,3,20,2,0,2,0,9
4930415L06Rik,0,0,0,0,0,0,0,0,0,0,0
4930415O20Rik,0,0,0,0,0,0,3,0,0,1,0
4930417O13Rik,0,0,0,0,0,0,0,0,14,51,1
4930417O22Rik,0,0,0,0,0,0,0,0,0,0,0
4930419G24Rik,0,0,0,0,0,0,0,0,0,0,0
4930423M02Rik,0,0,0,0,0,0,0,0,0,0,0
4930425K10Rik,0,0,0,0,0,0,0,0,0,0,0
4930425L21Rik,0,0,0,0,0,0,0,0,0,0,0
4930425O10Rik,3,0,0,0,0,0,0,0,0,1,4
4930426D05Rik,0,0,0,153,0,0,26,1,1,4,89
4930426L09Rik,3,3,3,4,14,4,5,4,5,2,103
4930427A07Rik,69,172,115,21,11,189,108,8,15,20,159
4930428D20Rik,0,0,0,0,0,0,0,0,0,0,0
4930428E07Rik,0,0,0,0,0,0,0,0,0,0,0
4930428G15Rik,0,0,0,0,0,0,0,0,0,0,0
4930428O21Rik,0,0,1,0,0,0,0,1,2,3,2
4930429B21Rik,0,0,0,0,0,1,0,1,0,0,1
4930429D17Rik,0,0,0,0,0,0,0,0,0,0,0
4930429F11Rik,0,0,0,0,0,0,0,0,0,0,0
4930429F24Rik,2,0,0,1,0,1,0,0,1,0,4
4930430A15Rik,0,0,0,0,0,0,0,0,0,0,0
4930430F08Rik,29,70,52,6,12,161,92,6,7,19,40
4930430F21Rik,0,0,0,0,0,0,0,0,0,0,0
4930430J02Rik,0,0,0,0,0,0,0,0,0,0,0
4930431F12Rik,0,0,0,0,1,0,0,0,0,0,0
4930431P03Rik,3,2,0,2,0,0,0,14,10,33,177
4930432J09Rik,6,0,0,0,0,0,0,0,0,0,0
4930432K21Rik,34,10,12,4,0,20,0,0,15,3,23
4930432M17Rik,0,0,0,0,0,0,0,0,0,0,0
4930433B08Rik,0,0,0,0,0,0,0,0,0,0,0
4930433I11Rik,0,0,0,0,0,0,0,0,0,0,0
4930433N12Rik,1,0,0,0,0,0,0,0,0,0,0
4930434J06Rik,0,0,0,0,0,0,0,0,0,0,0
4930435E12Rik,0,0,0,0,0,0,0,0,0,0,0
4930438E09Rik,0,0,0,0,0,0,0,0,0,0,0
4930440C22Rik,0,0,0,0,0,0,0,0,0,0,0
4930440I19Rik,0,0,0,0,0,0,0,0,0,0,0
4930441H08Rik,0,0,0,0,0,0,0,0,0,0,0
4930441J16Rik,0,0,0,0,0,0,0,0,0,0,0
4930442J19Rik,0,0,0,0,0,0,0,0,0,0,0
4930442L01Rik,0,0,0,0,0,0,0,0,0,0,0
4930443O20Rik,1,0,0,0,0,0,0,0,0,0,0
4930444F02Rik,0,0,5,0,0,0,0,0,0,0,0
4930444G20Rik,0,0,0,0,0,0,0,0,0,0,0
4930444M15Rik,1,0,0,0,0,1,0,0,0,0,0
4930444P10Rik,2,3,1,0,1,3,1,0,0,0,4
4930445N18Rik,0,0,1,0,0,0,0,0,0,0,7
4930447A16Rik,0,0,0,0,0,0,0,0,0,0,0
4930447C04Rik,25,21,7,0,1,3,0,0,0,0,1
4930447F24Rik,0,0,0,1,0,2,0,4,3,0,1
4930447J18Rik,0,0,0,0,0,0,0,0,0,0,0
4930447K03Rik,0,2,0,0,0,0,0,0,0,2,2
4930447M23Rik,10,0,0,0,0,0,0,0,0,0,0
4930447N08Rik,0,0,0,0,0,0,0,0,0,0,0
4930448C13Rik,0,0,0,0,0,0,0,0,0,0,0
4930448F12Rik,0,0,0,0,0,0,0,0,0,0,0
4930448H16Rik,0,0,0,0,0,0,0,0,0,0,0
4930448I06Rik,0,0,0,0,0,0,0,0,0,0,0
4930448I18Rik,0,0,0,0,0,0,0,0,0,0,0
4930448K20Rik,0,0,0,0,0,0,0,0,0,0,0
4930449E01Rik,0,0,0,0,0,0,0,0,0,0,0
4930449E18Rik,0,0,0,0,0,0,0,0,0,0,0
4930449I24Rik,0,0,0,0,0,0,0,0,0,0,0
4930451G09Rik,11,10,3,3,0,6,0,0,0,1,36
4930451I11Rik,0,0,0,0,0,0,0,0,0,0,0
4930452A19Rik,0,0,0,0,0,0,0,0,0,0,0
4930452B06Rik,1,0,2,0,0,0,0,0,0,2,1
4930452G13Rik,2,0,0,0,0,0,0,0,0,0,0
4930452N14Rik,15,15,13,2,9,16,9,1,0,2,15
4930453H23Rik,0,0,1,0,0,0,0,0,0,0,0
4930453L07Rik,12,0,1,0,0,0,0,0,0,0,0
4930453N24Rik,67,263,254,47,106,311,67,83,168,109,357
4930455B14Rik,0,0,0,0,0,0,0,0,0,0,0
4930455C13Rik,0,0,1,0,0,1,0,0,0,0,2
4930455D15Rik,0,0,0,0,0,0,0,0,0,0,0
4930455F16Rik,0,0,0,0,0,0,0,0,0,0,0
4930455G09Rik,0,1,3,0,23,3,4,1,0,0,60
4930455H04Rik,0,1,0,0,0,0,0,0,0,0,0
4930455J16Rik,10,0,0,0,0,0,0,0,0,0,0
4930456L15Rik,0,0,0,0,0,0,0,0,0,0,0
4930459C07Rik,0,0,0,0,3,0,0,0,0,1,9
4930459L07Rik,0,0,0,0,0,0,0,0,0,0,0
4930461G14Rik,0,0,0,0,0,0,0,0,0,0,2
4930463O16Rik,42,25,22,0,24,37,19,1,1,2,55
4930465K10Rik,0,0,0,0,0,6,1,0,0,0,1
4930465M20Rik,1,0,0,0,0,0,0,0,0,0,0
4930467D21Rik,0,0,0,0,0,0,0,0,0,0,0
4930467E23Rik,0,0,0,0,0,0,0,0,0,0,0
4930467K11Rik,0,0,0,0,0,0,0,0,0,0,0
4930469G21Rik,6,7,4,0,5,7,10,1,1,0,5
4930470H14Rik,0,0,0,0,0,0,0,0,0,0,0
4930470O06Rik,0,0,0,0,0,0,0,0,0,0,0
